vessel_id,port_id,berth_id,arrival_time_hr,unload_start_hr,unload_end_hr,unloading_time_hr,waiting_time_hr
V04993,P001,5,32.83,697.77,718.02,20.25,664.94
V04686,P001,1,41.21,711.33,723.49,12.16,670.12
V08002,P001,3,52.13,717.96,719.39,1.43,665.83
V03512,P001,5,4.43,718.02,767.16,49.14,713.59
V03437,P001,3,19.78,719.39,753.56,34.17,699.62
V09364,P001,1,12.88,723.49,764.6,41.11,710.61
V01489,P001,4,21.82,724.9,757.16,32.26,703.08
V09746,P001,2,39.17,742.5,757.44,14.94,703.34
V07618,P001,3,48.49,753.56,759.32,5.76,705.07
V04426,P001,4,21.68,757.16,790.29,33.13,735.47
V08245,P001,2,30.05,757.44,782.21,24.77,727.39
V06515,P001,3,25.46,759.32,789.03,29.71,733.86
V04664,P001,1,52.98,764.6,767.2,2.6,711.62
V08106,P001,5,37.59,767.16,785.25,18.09,729.57
V06436,P001,1,33.98,767.2,788.99,21.79,733.22
V00488,P001,2,15.88,782.21,822.15,39.94,766.34
V00224,P001,5,34.18,785.25,806.92,21.67,751.07
V09543,P001,1,42.67,788.99,802.22,13.23,746.31
V06959,P001,3,34.0,789.03,810.96,21.93,755.03
V07168,P001,4,21.31,790.29,825.05,34.76,768.98
V08322,P001,1,38.82,802.22,819.5,17.28,763.39
V07277,P001,5,20.76,806.92,842.54,35.62,786.16
V02114,P001,3,45.87,810.96,821.55,10.59,765.09
V08693,P001,1,15.92,819.5,860.16,40.66,803.58
V02355,P001,3,47.92,821.55,830.39,8.84,773.63
V04545,P001,2,31.64,822.15,847.71,25.56,790.51
V09670,P001,4,38.47,825.05,844.04,18.99,786.58
V08646,P001,3,31.49,830.39,856.6,26.21,798.9
V06678,P001,5,22.11,842.54,878.23,35.69,820.43
V09648,P001,4,28.17,844.04,873.69,29.65,815.86
V05124,P001,2,30.61,847.71,875.36,27.65,817.11
V00446,P001,3,51.93,856.6,862.95,6.35,804.67
V00420,P001,1,47.39,860.16,871.08,10.92,812.77
V07458,P001,3,31.15,862.95,890.2,27.25,831.8
V00519,P001,1,53.8,871.08,875.99,4.91,817.28
V02560,P001,4,31.98,873.69,900.77,27.08,841.7
V01556,P001,2,14.62,875.36,920.1,44.74,860.74
V02698,P001,1,17.83,875.99,917.55,41.56,858.16
V02913,P001,5,33.49,878.23,904.21,25.98,844.74
V02166,P001,3,57.64,890.2,892.08,1.88,832.56
V09662,P001,3,33.18,892.08,918.45,26.37,858.9
V06254,P001,4,5.7,900.77,954.93,54.16,895.07
V00765,P001,5,4.07,904.21,960.05,55.84,900.14
V06085,P001,1,14.01,917.55,963.53,45.98,903.53
V05510,P001,3,48.2,918.45,930.38,11.93,870.25
V09515,P001,2,37.14,920.1,943.11,23.01,882.96
V00509,P001,3,51.51,930.38,939.41,9.03,878.87
V09731,P001,3,11.17,939.41,988.86,49.45,928.24
V00919,P001,2,45.73,943.11,958.03,14.92,897.38
V00424,P001,4,41.6,954.93,974.11,19.18,913.33
V09838,P001,2,20.39,958.03,998.54,40.51,937.64
V05733,P001,5,31.86,960.05,989.14,29.09,928.19
V03446,P001,1,32.14,963.53,992.37,28.84,931.39
V05145,P001,4,24.86,974.11,1010.26,36.15,949.25
V08514,P001,3,33.0,988.86,1016.97,28.11,955.86
V03581,P001,5,52.07,989.14,998.38,9.24,937.07
V04477,P001,1,22.18,992.37,1031.53,39.16,970.19
V00328,P001,5,58.07,998.38,1002.07,3.69,940.31
V02439,P001,2,54.18,998.54,1006.19,7.65,944.37
V05596,P001,5,42.27,1002.07,1021.99,19.92,959.8
V08027,P001,2,58.48,1006.19,1009.91,3.72,947.71
V02478,P001,2,61.12,1009.91,1011.04,1.13,948.79
V04948,P001,4,52.47,1010.26,1020.07,9.81,957.79
V02127,P001,2,57.32,1011.04,1016.02,4.98,953.72
V06166,P001,2,25.36,1016.02,1053.18,37.16,990.66
V09869,P001,3,52.74,1016.97,1026.93,9.96,964.23
V09133,P001,4,40.8,1020.07,1042.03,21.96,979.27
V03076,P001,5,52.55,1021.99,1032.29,10.3,969.44
V05263,P001,3,36.15,1026.93,1053.83,26.9,990.78
V08450,P001,1,56.41,1031.53,1038.21,6.68,975.12
V06310,P001,5,58.69,1032.29,1036.73,4.44,973.6
V03507,P001,5,62.78,1036.73,1037.17,0.44,973.95
V05207,P001,5,42.14,1037.17,1058.25,21.08,995.03
V08488,P001,1,43.86,1038.21,1057.65,19.44,994.35
V03418,P001,4,30.69,1042.03,1075.09,33.06,1011.34
V08551,P001,2,45.22,1053.18,1071.96,18.78,1007.96
V06255,P001,3,52.28,1053.83,1065.7,11.87,1001.55
V07415,P001,1,58.58,1057.65,1063.45,5.8,999.07
V02748,P001,5,10.92,1058.25,1111.74,53.49,1047.33
V03270,P001,1,34.71,1063.45,1093.16,29.71,1028.74
V00495,P001,3,28.47,1065.7,1101.68,35.98,1037.23
V07601,P001,2,54.85,1071.96,1081.64,9.68,1017.12
V04207,P001,4,43.06,1075.09,1096.6,21.51,1032.03
V06430,P001,2,37.15,1081.64,1109.27,27.63,1044.49
V09716,P001,1,57.31,1093.16,1100.75,7.59,1035.85
V02287,P001,4,50.36,1096.6,1111.25,14.65,1046.24
V01907,P001,1,49.95,1100.75,1115.97,15.22,1050.79
V01934,P001,3,62.66,1101.68,1104.8,3.12,1039.03
V04378,P001,3,49.22,1104.8,1121.41,16.61,1055.58
V04307,P001,2,51.0,1109.27,1124.21,14.94,1058.27
V04020,P001,4,26.27,1111.25,1150.99,39.74,1084.97
V03241,P001,5,40.85,1111.74,1136.99,25.25,1070.89
V00622,P001,1,20.52,1115.97,1161.57,45.6,1095.45
V05411,P001,3,37.99,1121.41,1149.59,28.18,1083.42
V07360,P001,2,52.31,1124.21,1138.6,14.39,1071.91
V08791,P001,5,56.01,1136.99,1147.75,10.76,1080.98
V05544,P001,2,45.03,1138.6,1160.41,21.81,1093.57
V04133,P001,5,48.97,1147.75,1165.62,17.87,1098.78
V06339,P001,3,31.37,1149.59,1185.45,35.86,1118.22
V06835,P001,4,48.98,1150.99,1169.28,18.29,1102.01
V08560,P001,2,38.35,1160.41,1190.29,29.88,1122.06
V01109,P001,1,59.96,1161.57,1170.07,8.5,1101.61
V04593,P001,5,25.87,1165.62,1208.26,42.64,1139.75
V05047,P001,4,54.38,1169.28,1183.67,14.39,1114.9
V04344,P001,1,38.52,1170.07,1200.64,30.57,1131.55
V03479,P001,4,35.71,1183.67,1217.18,33.51,1147.96
V00034,P001,3,46.33,1185.45,1208.63,23.18,1139.12
V03411,P001,2,46.58,1190.29,1213.44,23.15,1143.71
V09704,P001,1,47.05,1200.64,1223.76,23.12,1153.59
V03920,P001,5,57.44,1208.26,1221.3,13.04,1150.82
V06418,P001,3,55.24,1208.63,1223.91,15.28,1153.4
V07041,P001,2,52.78,1213.44,1231.21,17.77,1160.66
V08608,P001,4,27.72,1217.18,1260.11,42.93,1189.45
V05059,P001,5,53.08,1221.3,1239.02,17.72,1168.22
V02334,P001,1,33.2,1223.76,1261.37,37.61,1190.56
V06021,P001,3,30.23,1223.91,1264.49,40.58,1193.68
V05786,P001,2,64.38,1231.21,1237.71,6.5,1166.83
V05372,P001,2,22.79,1237.71,1285.81,48.1,1214.93
V05367,P001,5,30.27,1239.02,1280.04,41.02,1208.75
V04834,P001,4,14.13,1260.11,1317.35,57.24,1245.98
V05834,P001,1,48.7,1261.37,1284.04,22.67,1212.67
V06552,P001,3,40.74,1264.49,1295.38,30.89,1223.75
V00854,P001,5,47.52,1280.04,1304.55,24.51,1232.52
V02218,P001,1,18.26,1284.04,1337.86,53.82,1265.78
V03341,P001,2,44.69,1285.81,1313.26,27.45,1241.12
V02957,P001,3,33.54,1295.38,1334.06,38.68,1261.84
V03818,P001,5,55.59,1304.55,1321.28,16.73,1248.96
V03251,P001,2,29.97,1313.26,1355.68,42.42,1283.29
V09496,P001,4,43.94,1317.35,1345.87,28.52,1273.4
V01231,P001,5,45.95,1321.28,1348.09,26.81,1275.33
V01740,P001,3,37.17,1334.06,1370.06,36.0,1296.9
V05929,P001,1,51.12,1337.86,1360.14,22.28,1286.73
V08072,P001,4,21.61,1345.87,1397.7,51.83,1324.25
V04359,P001,5,28.18,1348.09,1393.55,45.46,1319.91
V05610,P001,2,30.33,1355.68,1399.18,43.5,1325.36
V09550,P001,1,51.51,1360.14,1382.5,22.36,1308.63
V01779,P001,3,15.02,1370.06,1429.42,59.36,1355.04
V09472,P001,1,32.36,1382.5,1424.72,42.22,1350.14
V00502,P001,5,72.06,1393.55,1396.13,2.58,1321.49
V07498,P001,5,52.9,1396.13,1418.0,21.87,1343.23
V07878,P001,4,36.34,1397.7,1436.2,38.5,1361.35
V04285,P001,2,41.03,1399.18,1433.09,33.91,1358.15
V07834,P001,5,59.67,1418.0,1434.23,16.23,1358.33
V08703,P001,1,28.48,1424.72,1472.17,47.45,1396.24
V01988,P001,3,52.13,1429.42,1453.22,23.8,1377.29
V04882,P001,2,47.44,1433.09,1461.59,28.5,1385.65
V06514,P001,5,55.4,1434.23,1454.83,20.6,1378.83
V03649,P001,4,40.69,1436.2,1472.27,36.07,1395.51
V04879,P001,3,22.75,1453.22,1507.48,54.26,1430.47
V00524,P001,5,61.71,1454.83,1470.29,15.46,1393.12
V05093,P001,2,58.37,1461.59,1480.5,18.91,1403.22
V03514,P001,5,45.65,1470.29,1502.08,31.79,1424.64
V03599,P001,1,47.51,1472.17,1502.38,30.21,1424.66
V00821,P001,4,53.82,1472.27,1496.2,23.93,1418.44
V01600,P001,2,52.9,1480.5,1505.4,24.9,1427.61
V00775,P001,4,76.54,1496.2,1497.54,1.34,1419.66
V07577,P001,4,76.81,1497.54,1499.05,1.51,1420.72
V04071,P001,4,22.91,1499.05,1554.53,55.48,1476.13
V01390,P001,5,35.85,1502.08,1544.78,42.7,1466.22
V04374,P001,1,28.67,1502.38,1552.69,50.31,1473.71
V06937,P001,2,29.87,1505.4,1555.04,49.64,1475.53
V08397,P001,3,46.47,1507.48,1540.67,33.19,1461.02
V02023,P001,3,45.66,1540.67,1574.67,34.0,1495.01
V09218,P001,5,72.08,1544.78,1552.37,7.59,1472.7
V08374,P001,5,35.27,1552.37,1597.15,44.78,1517.1
V08630,P001,1,38.7,1552.69,1594.29,41.6,1513.99
V03855,P001,4,58.13,1554.53,1576.93,22.4,1496.39
V01180,P001,2,71.68,1555.04,1564.27,9.23,1483.36
V06745,P001,2,47.57,1564.27,1598.27,34.0,1516.71
V09394,P001,3,45.22,1574.67,1611.15,36.48,1529.46
V01373,P001,4,44.42,1576.93,1614.38,37.45,1532.5
V06775,P001,1,29.59,1594.29,1646.72,52.43,1564.69
V04551,P001,5,76.97,1597.15,1602.34,5.19,1520.18
V09689,P001,2,21.3,1598.27,1659.13,60.86,1576.97
V00076,P001,5,64.39,1602.34,1620.86,18.52,1537.95
V02594,P001,3,38.34,1611.15,1655.94,44.79,1572.81
V04354,P001,4,76.17,1614.38,1621.51,7.13,1538.2
V07296,P001,5,59.87,1620.86,1644.66,23.8,1560.99
V06120,P001,4,61.72,1621.51,1643.76,22.25,1559.78
V09530,P001,4,61.44,1643.76,1666.64,22.88,1582.32
V08639,P001,5,31.24,1644.66,1697.85,53.19,1613.41
V09308,P001,1,75.84,1646.72,1655.62,8.9,1570.87
V01859,P001,1,42.89,1655.62,1697.5,41.88,1612.73
V03346,P001,3,52.83,1655.94,1688.05,32.11,1603.11
V00039,P001,2,43.24,1659.13,1701.13,42.0,1615.89
V00971,P001,4,52.06,1666.64,1700.36,33.72,1614.58
V01422,P001,3,45.73,1688.05,1728.64,40.59,1642.32
V04764,P001,1,21.04,1697.5,1762.91,65.41,1676.46
V07455,P001,5,71.1,1697.85,1713.23,15.38,1626.75
V01786,P001,4,43.0,1700.36,1744.16,43.8,1657.36
V09259,P001,2,80.16,1701.13,1707.8,6.67,1620.97
V01841,P001,2,51.76,1707.8,1742.9,35.1,1656.04
V05518,P001,5,59.46,1713.23,1740.67,27.44,1653.77
V08159,P001,3,34.98,1728.64,1781.29,52.65,1693.66
V04496,P001,5,47.19,1740.67,1781.18,40.51,1693.48
V06512,P001,2,57.07,1742.9,1773.62,30.72,1685.83
V00484,P001,4,57.06,1744.16,1775.17,31.01,1687.09
V03483,P001,1,18.76,1762.91,1832.55,69.64,1744.15
V08707,P001,2,59.68,1773.62,1802.4,28.78,1713.94
V05083,P001,4,63.34,1775.17,1800.44,25.27,1711.82
V07980,P001,5,36.49,1781.18,1833.69,52.51,1744.69
V01334,P001,3,54.32,1781.29,1816.73,35.44,1726.98
V05389,P001,4,40.33,1800.44,1850.44,50.0,1760.11
V01626,P001,2,83.54,1802.4,1809.6,7.2,1718.86
V01943,P001,2,71.7,1809.6,1828.76,19.16,1737.9
V01003,P001,3,54.04,1816.73,1853.86,37.13,1762.69
V00759,P001,2,72.41,1828.76,1847.6,18.84,1756.36
V09158,P001,1,60.53,1832.55,1863.7,31.15,1772.02
V00489,P001,5,56.41,1833.69,1868.97,35.28,1777.28
V05590,P001,2,84.37,1847.6,1855.01,7.41,1763.23
V02766,P001,4,60.48,1850.44,1881.86,31.42,1789.95
V05474,P001,3,85.91,1853.86,1859.85,5.99,1767.95
V02746,P001,2,69.67,1855.01,1878.14,23.13,1785.35
V00243,P001,3,62.73,1859.85,1890.27,30.42,1797.12
V01271,P001,1,72.86,1863.7,1884.2,20.5,1790.84
V04832,P001,5,48.7,1868.97,1913.79,44.82,1820.27
V06638,P001,2,70.15,1878.14,1902.19,24.05,1808.0
V00659,P001,4,46.26,1881.86,1930.02,48.16,1835.59
V05714,P001,1,46.36,1884.2,1932.93,48.73,1837.84
V09506,P001,3,65.71,1890.27,1919.88,29.61,1824.56
V07589,P001,2,41.2,1902.19,1956.73,54.54,1861.0
V07581,P001,5,45.89,1913.79,1964.03,50.24,1867.9
V04518,P001,3,62.19,1919.88,1954.53,34.65,1857.69
V05670,P001,4,92.99,1930.02,1934.35,4.33,1837.03
V09473,P001,1,92.98,1932.93,1937.72,4.79,1839.95
V09495,P001,4,48.42,1934.35,1983.93,49.58,1885.92
V03851,P001,1,45.92,1937.72,1990.67,52.95,1891.8
V05604,P001,3,33.54,1954.53,2020.09,65.56,1920.99
V04315,P001,2,51.68,1956.73,2005.01,48.28,1905.05
V06390,P001,5,76.56,1964.03,1987.77,23.74,1887.47
V03220,P001,4,57.99,1983.93,2026.25,42.32,1925.94
V01767,P001,5,66.33,1987.77,2022.31,34.54,1921.43
