vessel_id,vessel_type,cargo_quantity_tons,port_efficiency,plant_priority,unloading_time_hours
V00170,Container,38568.52609140635,Medium,Medium,32.14
V00171,Bulk Carrier,21562.530133956217,Medium,High,18.33
V00172,Cargo,28488.08901775063,High,Low,32.76
V00173,Tanker,1539.9532708248569,Medium,Low,1.18
V00174,Bulk Carrier,2204.3497743790704,High,Low,2.03
V00175,Bulk Carrier,22568.3647164373,High,Low,20.76
V00176,Container,40924.43453848037,Medium,Low,39.22
V00177,Tanker,44319.32449602448,Medium,High,25.11
V00178,Tanker,4791.97509598419,High,High,2.17
V00179,Cargo,27148.97355400063,High,High,23.08
V00180,Tanker,45704.86947082389,Medium,Medium,30.47
V00181,Cargo,19704.651342695375,High,Low,22.66
V00182,Tanker,41563.508655704245,High,Medium,22.17
V00183,Container,7117.934892772092,Medium,Medium,5.93
V00184,Tanker,46802.02723855604,Medium,Medium,31.2
V00185,Cargo,37695.45421779948,Low,Low,65.02
V00186,Cargo,47096.05244295163,Medium,Medium,58.87
V00187,Container,33992.55306084907,Medium,Low,32.58
V00188,Tanker,18488.494633971637,Medium,Low,14.17
V00189,Tanker,46939.96803997376,Low,Low,43.18
V00190,Container,14140.555427304334,High,Medium,9.43
V00191,Tanker,16942.53984205576,Medium,Low,12.99
V00192,Tanker,35190.016691086144,Medium,Low,26.98
V00193,Cargo,38383.15682650662,Low,High,48.94
V00194,Tanker,46505.47245053312,Low,Medium,37.2
V00195,Tanker,10637.71924828237,Low,High,7.23
V00196,Container,40000.90274335159,High,High,22.67
V00197,Container,37058.02964314969,Low,Medium,37.06
V00198,Bulk Carrier,3657.8305345530944,High,High,2.49
V00199,Cargo,19667.545489905246,Medium,Low,28.27
V00200,Tanker,14496.89012447488,Medium,High,8.21
V00201,Tanker,15572.276005524505,Medium,High,8.82
V00202,Bulk Carrier,49155.87053795769,Low,Low,67.84
V00203,Tanker,32317.48196725643,Medium,High,18.31
V00204,Cargo,36024.96981077823,Low,Low,62.14
V00205,Bulk Carrier,48842.573047092956,High,Medium,39.07
V00206,Cargo,19171.488231653115,Medium,High,20.37
V00207,Bulk Carrier,40191.088338413894,High,Medium,32.15
V00208,Bulk Carrier,22009.28268357252,Low,High,22.45
V00209,Container,43541.9167548415,Low,Low,50.07
V00210,Cargo,9442.548294909508,Medium,High,10.03
V00211,Tanker,47410.46576468184,Medium,Medium,31.61
V00212,Tanker,11329.199566338544,Low,Low,10.42
V00213,Cargo,16647.915095556113,Medium,Low,23.93
V00214,Tanker,37931.515588285634,Medium,Medium,25.29
V00215,Tanker,19990.879507487633,High,Medium,10.66
V00216,Cargo,30606.46314993911,Low,High,39.02
V00217,Bulk Carrier,22506.38830293671,High,High,15.3
V00218,Cargo,37247.311885944204,Medium,Low,53.54
V00219,Bulk Carrier,11802.396992246237,High,Medium,9.44
V00220,Tanker,3393.670368225412,Low,Medium,2.71
V00221,Tanker,15346.50517491678,High,High,6.96
V00222,Tanker,23978.278910987297,High,High,10.87
V00223,Container,8816.992583537589,Medium,Low,8.45
V00224,Bulk Carrier,18062.46583799124,Low,Medium,21.67
V00225,Container,20299.159405531642,Medium,Medium,16.92
V00226,Container,3340.896262569541,Medium,Medium,2.78
V00227,Cargo,29373.708785118124,Low,Medium,44.06
V00228,Container,44274.99968457873,High,High,25.09
V00229,Cargo,8011.274191176095,Medium,High,8.51
V00230,Cargo,30091.496663374943,High,High,25.58
V00231,Container,33404.59064308689,Low,Low,38.42
V00232,Bulk Carrier,21257.06668075477,Medium,Medium,21.26
V00233,Bulk Carrier,35204.33057453136,High,High,23.94
V00234,Bulk Carrier,20831.211402805096,High,Medium,16.66
V00235,Bulk Carrier,25479.545754883027,Medium,High,21.66
V00236,Bulk Carrier,863.9757054441354,Low,Low,1.19
V00237,Container,34740.145649667094,High,High,19.69
V00238,Container,33236.46260776386,Low,Low,38.22
V00239,Tanker,2400.8434276540556,Medium,Medium,1.6
V00240,Bulk Carrier,18728.380316059087,High,High,12.74
V00241,Container,48962.076119187535,High,High,27.75
V00242,Tanker,21326.459847146532,High,High,9.67
V00243,Bulk Carrier,25346.297554026165,Low,Medium,30.42
V00244,Cargo,45541.542828906066,High,Low,52.37
V00245,Tanker,36004.46285535494,High,Low,22.08
V00246,Container,29312.471490649066,Medium,High,20.76
V00247,Cargo,39991.33172638309,High,Medium,39.99
V00248,Cargo,43286.13018957068,Low,Low,74.67
V00249,Cargo,23115.95955099471,Medium,Low,33.23
V00250,Tanker,24017.864064125853,Medium,Low,18.41
V00251,Container,19609.521314765872,High,Low,15.03
V00252,Cargo,48351.9539309138,Medium,Low,69.51
V00253,Bulk Carrier,35009.72958737234,High,High,23.81
V00254,Cargo,4619.541777299579,Medium,High,4.91
V00255,Cargo,43216.50135399441,Low,High,55.1
V00256,Tanker,24287.71707139527,High,Low,14.9
V00257,Tanker,3903.3183679131294,Low,Low,3.59
V00258,Container,27711.004130583897,High,Low,21.25
V00259,Bulk Carrier,21149.631809297254,Low,High,21.57
V00260,Tanker,43948.595540699935,Low,Low,40.43
V00261,Cargo,10597.732878664674,Medium,High,11.26
V00262,Container,41409.99816986306,High,Low,31.75
V00263,Cargo,28105.59021367991,Medium,High,29.86
V00264,Cargo,3203.2100090667177,Low,Medium,4.8
V00265,Tanker,48606.34241561149,High,Low,29.81
V00266,Container,25874.454583108396,Low,Low,29.76
V00267,Bulk Carrier,14898.404284463333,Low,High,15.2
V00268,Bulk Carrier,23735.638678468276,Low,Low,32.76
V00269,Tanker,42963.9602841157,Low,High,29.22
V00270,Tanker,15592.704657060644,Medium,High,8.84
V00271,Container,10037.481626091665,Low,Medium,10.04
V00272,Bulk Carrier,6889.026723078632,Medium,Medium,6.89
V00273,Bulk Carrier,15244.040220315457,Low,Low,21.04
V00274,Bulk Carrier,39112.38030848215,High,Low,35.98
V00275,Cargo,23845.505077165453,Low,High,30.4
V00276,Bulk Carrier,11760.339382830229,Low,High,12.0
V00277,Cargo,8726.157480682585,High,High,7.42
V00278,Container,16970.109087263765,High,High,9.62
V00279,Cargo,47026.25645784259,Low,Low,81.12
V00280,Container,17479.822273206206,Low,Medium,17.48
V00281,Bulk Carrier,49412.14175975445,Medium,Low,56.82
V00282,Bulk Carrier,24518.90756038513,High,Low,22.56
V00283,Container,9368.613955362469,High,Low,7.18
V00284,Tanker,44611.43454377871,Medium,Medium,29.74
V00285,Container,23287.59097017393,Low,Low,26.78
V00286,Tanker,35628.73150347396,Low,Medium,28.5
V00287,Cargo,49193.72336885301,High,High,41.81
V00288,Cargo,2983.679840838713,Medium,Low,4.29
V00289,Cargo,5286.380709484573,Low,High,6.74
V00290,Bulk Carrier,36162.60870240643,High,High,24.59
V00291,Cargo,14450.337663125863,Low,High,18.42
V00292,Tanker,9622.919149029904,Low,Low,8.85
V00293,Cargo,2448.41305107661,Low,High,3.12
V00294,Container,1581.4122433169894,High,Low,1.21
V00295,Container,38837.037354429645,Medium,High,27.51
V00296,Bulk Carrier,7154.454654792725,Medium,Low,8.23
V00297,Container,23652.17049057197,Low,Low,27.2
V00298,Tanker,30491.89235138441,Medium,Low,23.38
V00299,Cargo,21703.41412815789,Low,High,27.67
V00300,Bulk Carrier,1841.7792906435388,High,Low,1.69
V00301,Cargo,39283.32437810149,High,High,33.39
V00302,Cargo,1020.4046148118476,High,Medium,1.02
V00303,Tanker,38213.54977168546,Low,High,25.99
V00304,Container,44718.57244251207,Medium,High,31.68
V00305,Container,21925.57609233003,High,Low,16.81
V00306,Cargo,27009.35241834101,Low,High,34.44
V00307,Bulk Carrier,24110.67793457386,Medium,Medium,24.11
V00308,Container,19765.826621860222,Medium,Low,18.94
V00309,Bulk Carrier,44427.51450083283,Medium,High,37.76
V00310,Container,44749.70877816453,Low,High,38.04
V00311,Bulk Carrier,17122.91004975596,Low,Low,23.63
V00312,Tanker,30945.95282372755,Low,Low,28.47
V00313,Bulk Carrier,46381.92432622027,High,High,31.54
V00314,Tanker,48121.8956975969,Low,High,32.72
V00315,Tanker,25693.472500891352,High,Low,15.76
V00316,Bulk Carrier,22914.827861574176,High,Low,21.08
V00317,Tanker,14295.368638462027,High,Medium,7.62
V00318,Cargo,47964.157722925294,Low,Medium,71.95
V00319,Tanker,7569.308071406935,High,Medium,4.04
V00320,Container,29201.564014362386,Low,Low,33.58
V00321,Bulk Carrier,14486.238242172625,Low,Low,19.99
V00322,Cargo,14310.910372215933,High,Low,16.46
V00323,Bulk Carrier,20545.94507512133,High,High,13.97
V00324,Container,49940.2503228749,High,Low,38.29
V00325,Container,3220.832188571192,Low,High,2.74
V00326,Container,29137.820001074808,Low,Low,33.51
V00327,Tanker,4587.32182274622,High,Low,2.81
V00328,Tanker,8148.781084530689,High,High,3.69
V00329,Bulk Carrier,22258.365617758485,Medium,Low,25.6
V00330,Bulk Carrier,25767.776501648845,High,Low,23.71
V00331,Cargo,13310.224214043938,Medium,Low,19.13
V00332,Cargo,16164.6279782836,Medium,Medium,20.21
V00333,Bulk Carrier,4804.867502668686,Low,Low,6.63
V00334,Tanker,15509.3793002904,Low,High,10.55
V00335,Container,48344.642749336934,Medium,High,34.24
V00336,Bulk Carrier,47263.01539278784,Medium,High,40.17
V00337,Cargo,17076.47536178076,High,Low,19.64
V00338,Tanker,28757.2698457987,Medium,High,16.3
V00339,Bulk Carrier,45524.97185999175,High,Medium,36.42
V00340,Bulk Carrier,806.0992207243854,Low,High,0.82
V00341,Tanker,40628.8367317108,High,Low,24.92
V00342,Bulk Carrier,47444.29286305149,Low,Medium,56.93
V00343,Tanker,5020.623849511075,Medium,High,2.85
V00344,Container,8491.66045862959,Medium,Medium,7.08
V00345,Tanker,48056.941987182094,Medium,High,27.23
V00346,Tanker,27108.23711019714,High,Low,16.63
V00347,Tanker,1202.733406350323,Low,Medium,0.96
V00348,Bulk Carrier,13252.783938794693,Low,High,13.52
V00349,Bulk Carrier,22772.211876308553,Low,High,23.23
V00350,Tanker,34798.991095726,Low,Medium,27.84
V00351,Bulk Carrier,36791.438717771576,Low,Medium,44.15
V00352,Cargo,49773.36488981008,High,Medium,49.77
V00353,Cargo,14731.80436949607,Low,Medium,22.1
V00354,Bulk Carrier,27141.895042489523,Medium,High,23.07
V00355,Bulk Carrier,26899.51561905045,Low,High,27.44
V00356,Tanker,20579.440342638256,Medium,High,11.66
V00357,Container,8873.5137451998,High,Low,6.8
V00358,Bulk Carrier,48884.09987760021,High,Medium,39.11
V00359,Cargo,42739.20073999601,Medium,High,45.41
V00360,Tanker,25167.48490056474,Low,Medium,20.13
V00361,Bulk Carrier,30360.648422859475,High,Medium,24.29
V00362,Cargo,11749.422151203284,High,High,9.99
V00363,Cargo,27417.459984391473,High,Medium,27.42
V00364,Container,34901.02158951305,Low,Medium,34.9
V00365,Tanker,26000.767905136145,Medium,Medium,17.33
V00366,Tanker,49519.115943954595,Medium,Medium,33.01
V00367,Container,30761.411984262446,Low,Medium,30.76
V00368,Container,18863.198773312368,High,High,10.69
V00369,Tanker,38721.52536698399,Low,High,26.33
V00370,Tanker,8937.89432329128,Low,Medium,7.15
V00371,Bulk Carrier,19533.532778460194,Medium,Medium,19.53
V00372,Bulk Carrier,17674.4680436905,Low,Medium,21.21
V00373,Container,21874.451207834976,Low,Low,25.16
V00374,Bulk Carrier,39198.10138347195,High,Medium,31.36
V00375,Cargo,24466.56509208867,High,Low,28.14
V00376,Bulk Carrier,39803.71528816516,Medium,Low,45.77
V00377,Bulk Carrier,29036.20070542336,High,Low,26.71
V00378,Cargo,17432.43701554899,Low,High,22.23
V00379,Container,40593.947812331884,Low,Low,46.68
V00380,Cargo,12295.338692378033,Low,Medium,18.44
V00381,Bulk Carrier,11606.957500089877,Medium,Medium,11.61
V00382,Container,25472.89474071437,High,High,14.43
V00383,Bulk Carrier,13412.037675123402,Low,High,13.68
V00384,Cargo,949.8082300852079,High,Medium,0.95
V00385,Cargo,32590.727601290677,High,High,27.7
V00386,Bulk Carrier,25799.144162883702,High,High,17.54
V00387,Tanker,22553.13181741148,High,Low,13.83
V00388,Tanker,48364.94147360661,Medium,Low,37.08
V00389,Cargo,28774.359606164227,Medium,High,30.57
V00390,Cargo,43239.863100574534,Medium,Medium,54.05
V00391,Tanker,7402.786692155429,Low,Low,6.81
V00392,Tanker,28675.71992490667,Low,Medium,22.94
V00393,Bulk Carrier,43464.99152317969,Low,High,44.33
V00394,Bulk Carrier,29363.73498535495,Medium,Medium,29.36
V00395,Tanker,36041.70181728657,High,Medium,19.22
V00396,Bulk Carrier,18916.156606704266,Medium,Medium,18.92
V00397,Bulk Carrier,5076.251093334797,Low,Medium,6.09
V00398,Container,23166.064608790035,Low,High,19.69
V00399,Bulk Carrier,20026.72984652345,High,High,13.62
V00400,Cargo,43419.479027757894,Medium,Low,62.42
V00401,Bulk Carrier,12577.767466447376,High,Low,11.57
V00402,Bulk Carrier,48353.34426298785,Medium,Low,55.61
V00403,Tanker,47927.83693032256,Low,Low,44.09
V00404,Cargo,12757.766332036215,High,Medium,12.76
V00405,Bulk Carrier,17728.571796127366,High,Low,16.31
V00406,Bulk Carrier,44830.009173257306,Medium,Low,51.55
V00407,Container,48347.799934357325,Medium,Medium,40.29
V00408,Bulk Carrier,22450.23559038418,Medium,High,19.08
V00409,Bulk Carrier,16389.35375922444,Low,Low,22.62
V00410,Container,26541.65365595133,Medium,High,18.8
V00411,Tanker,34544.57571510387,Low,Low,31.78
V00412,Bulk Carrier,14036.9885110615,Medium,High,11.93
V00413,Container,36955.4221436441,Medium,Low,35.42
V00414,Cargo,3057.0391771747313,Low,High,3.9
V00415,Tanker,2940.077391838614,Medium,High,1.67
V00416,Cargo,19621.241404704488,Low,Low,33.85
V00417,Cargo,17996.92300700567,Low,High,22.95
V00418,Container,16123.844160674038,Medium,Low,15.45
V00419,Bulk Carrier,24805.478252111046,Medium,Low,28.53
V00420,Container,16376.312324422775,High,Medium,10.92
V00421,Container,10016.76696417055,Medium,Low,9.6
V00422,Container,15818.742679885745,High,Low,12.13
V00423,Container,48757.76150410663,Medium,Low,46.73
V00424,Tanker,20850.114141245005,Low,Low,19.18
V00425,Bulk Carrier,22513.28245448762,Low,Medium,27.02
V00426,Cargo,29038.97700258143,High,Medium,29.04
V00427,Cargo,49175.36803650422,Medium,Medium,61.47
V00428,Bulk Carrier,12459.263183570269,High,Medium,9.97
V00429,Cargo,34223.46447135547,Medium,High,36.36
V00430,Bulk Carrier,35941.24233031534,Medium,Low,41.33
V00431,Cargo,30562.558631256765,Low,Medium,45.84
V00432,Container,4884.627812013882,High,Low,3.74
V00433,Cargo,34005.177653465034,Low,Medium,51.01
V00434,Bulk Carrier,3672.688196290686,Low,Low,5.07
V00435,Bulk Carrier,30009.0611527199,Low,High,30.61
V00436,Bulk Carrier,37109.26827247626,High,Medium,29.69
V00437,Bulk Carrier,10943.009585687545,Medium,High,9.3
V00438,Bulk Carrier,42160.28937336732,Medium,High,35.84
V00439,Tanker,2002.513373883711,High,Low,1.23
V00440,Tanker,42268.73675108615,Medium,Medium,28.18
V00441,Cargo,23286.28800681687,High,High,19.79
V00442,Bulk Carrier,11270.603026616402,High,Low,10.37
V00443,Cargo,7122.018177201417,Medium,Low,10.24
V00444,Bulk Carrier,47688.70479532744,Low,Low,65.81
V00445,Bulk Carrier,4096.9465852672565,High,High,2.79
V00446,Tanker,10355.12428682832,High,Low,6.35
V00447,Tanker,17717.206197935775,High,Low,10.87
V00448,Container,31201.625023575463,High,Low,23.92
V00449,Tanker,27467.65372116687,Medium,High,15.57
V00450,Container,6719.352874409542,Medium,Low,6.44
V00451,Container,14841.535195041624,High,High,8.41
V00452,Container,12318.212668758191,Low,Low,14.17
V00453,Container,11070.371297271899,Medium,High,7.84
V00454,Container,20851.64465575936,Low,High,17.72
V00455,Cargo,35349.55690328702,Low,Medium,53.02
V00456,Tanker,11263.92014475318,High,Medium,6.01
V00457,Container,18650.60454529758,Medium,Medium,15.54
V00458,Bulk Carrier,19850.412628637532,High,High,13.5
V00459,Tanker,48834.598207052804,High,Low,29.95
V00460,Tanker,47755.98466551391,Low,Low,43.94
V00461,Container,40106.81034622776,Low,High,34.09
V00462,Cargo,12462.116580549666,Low,Low,21.5
V00463,Container,3867.8470475376494,High,High,2.19
V00464,Cargo,16186.754817170926,High,Low,18.61
V00465,Bulk Carrier,13706.330196974628,High,High,9.32
V00466,Tanker,25543.327107246496,High,Medium,13.62
V00467,Bulk Carrier,38997.53154835576,High,Medium,31.2
V00468,Cargo,42986.985474503475,High,Low,49.44
V00469,Cargo,42320.77222782017,High,Low,48.67
V00470,Bulk Carrier,18303.940280541854,High,Low,16.84
V00471,Cargo,34518.10000130381,Medium,Low,49.62
V00472,Bulk Carrier,15985.292777448893,Medium,Medium,15.99
V00473,Tanker,3514.8243901415444,Medium,Medium,2.34
V00474,Bulk Carrier,35227.48064734564,Medium,High,29.94
V00475,Tanker,986.4638522044984,High,Low,0.61
V00476,Bulk Carrier,20754.538079195183,High,Medium,16.6
V00477,Cargo,16804.27383045275,Low,High,21.43
V00478,Bulk Carrier,34822.188156683194,Low,High,35.52
V00479,Cargo,38429.15090163876,Medium,High,40.83
V00480,Bulk Carrier,15552.68448057855,Low,Medium,18.66
V00481,Bulk Carrier,40675.53721502025,Medium,High,34.57
V00482,Container,15048.879644994222,High,Low,11.54
V00483,Cargo,22593.15481933478,High,High,19.2
V00484,Container,36487.41708719963,Low,High,31.01
V00485,Cargo,34799.551346627035,High,Medium,34.8
V00486,Container,49374.7393794539,High,High,27.98
V00487,Tanker,11645.470698688627,Medium,Medium,7.76
V00488,Bulk Carrier,33284.73672020933,Low,Medium,39.94
V00489,Cargo,30679.25445965098,High,Low,35.28
V00490,Cargo,45797.37349725648,Low,High,58.39
V00491,Bulk Carrier,8239.926011421314,High,Low,7.58
V00492,Cargo,37714.00909755318,Medium,Low,54.21
V00493,Cargo,28629.29650530403,High,High,24.33
V00494,Container,14095.960554501318,Low,High,11.98
V00495,Cargo,23984.52825028512,Low,Medium,35.98
V00496,Tanker,17021.941554954992,Medium,High,9.65
V00497,Tanker,29176.013438028815,High,Medium,15.56
V00498,Bulk Carrier,44505.53023532596,Medium,Low,51.18
V00499,Cargo,28680.596728403998,Low,Low,49.47
V00500,Bulk Carrier,31770.25970716591,Medium,Medium,31.77
V00501,Tanker,26178.018432178116,High,High,11.87
V00502,Cargo,3032.6925690510575,High,High,2.58
